day,value
0,4985000
1,4940000
2,7925000
3,8920000
4,8920000
5,8920000
6,8920000
7,8920000
8,8920000
9,8920000
10,8920000
11,8920000
12,8920000
13,8920000
14,8920000
15,8920000
16,8920000
17,8920000
18,8920000
19,8920000
20,8920000
21,8920000
22,8920000
23,8920000
24,8920000
25,8920000
26,8920000
27,8920000
28,8920000
29,8920000
30,8920000
31,8920000
32,8920000
33,8920000
34,8920000
35,8920000
36,8920000
37,8920000
38,8920000
39,8920000
40,8920000
41,8920000
42,8920000
43,8920000
44,8920000
45,8920000
46,8920000
47,890000
48,890000
49,890000
50,890000
51,890000
52,890000
53,890000
54,890000
55,890000
56,890000
57,890000
58,890000
59,890000
60,9954452
61,9954452
62,9954452
63,9954452
64,9954452
65,9954452
66,9954452
67,53859452
68,90674452
69,90479452
70,188986452
71,771369452
72,791269452
73,719449452
74,1136341452
75,1149276452
76,1170156452
77,1170156452
78,1155656452
79,1137346452
80,1137346452
81,1146301452
82,1146301452
83,1146301452
84,1157644452
85,1976134452
86,1765531452
87,1781451452
88,1594542452
89,1581277452
90,1570627452
91,1570627452
92,1580875452
93,1596098452
94,1581578452
95,1621278452
96,1621278452
97,1621278452
98,1610268452
99,1656847559
100,1656847559
101,1694372744
102,1711617033
103,1714587033
104,1714587033
105,1688026033
106,2185516033
107,2185516033
108,2185516033
109,2213376033
110,2223316033
111,2260330033
112,2270372434
113,2304209127
114,2336436027
115,2220361627
116,2249201627
117,2292156627
118,2410346627
119,2410654627
120,2425595902
121,2435545902
122,2447584902
123,2388185065
124,2389623409
125,2419888409
126,2433678409
127,3275905529
128,3299661313
129,3311999313
130,3457120313
131,3463705313
132,3715529313
133,3725479313
134,3706486143
135,3713133725
136,3612709743
137,3612697743
138,3609907143
139,3157791143
140,3157990143
141,2776778043
142,2644364401
143,3076105401
144,3067095401
145,3077443401
146,3087393401
147,3053171809
148,3588124862
149,3587784196
150,3688848750
151,3719885224
152,4926185239
153,4898971927
154,4569559917
155,4965308949
156,4398658995
157,4366741370
158,4053474370
159,4216970559
160,4596913166
161,4764391969
162,4803954969
163,4896647510
164,5443277352
165,5650115352
166,5869889352
167,5760664352
168,5667588395
169,5863295325
170,6193699325
171,6535314291
172,6585055291
173,6784204091
174,6784204091
175,6201195491
176,7153813441
177,7266466382
178,7373158382
179,9399252896
180,9616251896
181,9150355066
182,9125671216
183,9178721826
184,9779218890
185,9838918242
186,9509365359
187,9635945146
188,9082391268
189,9306397822
190,7641845992
191,9998
192,9998
